date,product_category,sales,units_sold,region
2021-01-01,Groceries,30609.43,826,West
2021-02-01,Electronics,36012.7,921,North
2021-03-01,Books,43150.35,1419,South
2021-04-01,Groceries,41766.84,1252,East
2021-05-01,Clothing,32076.32,1473,South
2021-06-01,Clothing,31074.4,1473,South
2021-07-01,Groceries,34027.11,943,North
2021-08-01,Books,33231.62,1081,South
2021-09-01,Sports,31530.87,947,North
2021-10-01,Groceries,25951.06,671,South
2021-11-01,Electronics,27652.21,786,East
2021-12-01,Sports,31005.77,941,East
2022-01-01,Books,37674.92,1138,East
2022-02-01,Books,47890.01,1827,South
2022-03-01,Electronics,50127.32,2661,West
2022-04-01,Clothing,45709.99,1534,North
2022-05-01,Books,44258.75,1860,South
2022-06-01,Sports,39303.85,1353,North
2022-07-01,Groceries,43071.19,1049,South
2022-08-01,Sports,41307.11,1698,West
2022-09-01,Sports,38737.6,1979,South
2022-10-01,Clothing,33838.14,1321,West
2022-11-01,Sports,35881.35,1383,South
2022-12-01,Clothing,36683.98,1022,East
2023-01-01,Clothing,44229.06,1338,South
2023-02-01,Books,52474.12,1339,South
2023-03-01,Books,57799.78,1608,West
2023-04-01,Electronics,55702.32,1922,West
2023-05-01,Sports,51889.57,1297,South
2023-06-01,Electronics,49626.11,2204,West
2023-07-01,Sports,53140.44,2854,South
2023-08-01,Electronics,48136.99,2356,East
2023-09-01,Books,45625.7,1216,West
2023-10-01,Books,41115.31,1349,South
2023-11-01,Books,42211.08,1888,East
2023-12-01,Books,46793.84,1484,South
