country,continent,pop_2000,pop_2005,pop_2010,pop_2015,pop_2020,pop_2022
China,Asia,1267430000,1303720000,1340910000,1376049000,1411100000,1425671000
India,Asia,1053050000,1147610000,1230980000,1310152000,1396387000,1417173000
United States,North America,282340000,296220000,309776000,321419000,329484000,338289000
Indonesia,Asia,211560000,225961000,244016000,259091000,273524000,275122000
Pakistan,Asia,138080000,155369000,173149000,188925000,220892000,229489000
Brazil,South America,174426000,186405000,195210000,204472000,212560000,215313000
Nigeria,Africa,122835000,140431000,158503000,181182000,206140000,218541000
Bangladesh,Asia,129155000,142319000,152406000,160412000,166303000,168093000
Russia,Europe,146600000,143536000,142849000,144096000,145934000,145103000
Ethiopia,Africa,67225000,78254000,89966000,104957000,115000000,123379000
Mexico,North America,99775000,105783000,112336000,119530000,128933000,127505000
Japan,Asia,126870000,127773000,128070000,127141000,125836000,125124000
Philippines,Asia,76900000,87857000,93261000,100699000,109581000,115560000
Germany,Europe,82210000,82467000,81777000,82562000,83784000,84316000
United Kingdom,Europe,58867000,60246000,62762000,65382000,67215000,67791000
France,Europe,59473000,61181000,62961000,64395000,65274000,67813000
South Africa,Africa,45685000,47994000,50133000,54491000,59309000,60414000
Kenya,Africa,30686000,35600000,41088000,48462000,53771000,54027000
Argentina,South America,36895000,38747000,40412000,43417000,45196000,46234000
Canada,North America,30769000,32245000,34005000,35832000,37742000,38647000
Australia,Oceania,19153000,20400000,22032000,23781000,25500000,25978000
South Korea,Asia,47008000,48184000,48580000,51015000,51781000,51745000
Spain,Europe,39927000,43652000,46576000,46449000,47351000,47434000
Colombia,South America,39218000,42310000,45510000,48229000,50883000,51875000
Egypt,Africa,69080000,78273000,87952000,95700000,102334000,105914000
Tanzania,Africa,34443000,40373000,47652000,56313000,61498000,63298000
Peru,South America,25939000,27968000,29988000,31826000,32972000,33396000
Venezuela,South America,24392000,26706000,28980000,31108000,28436000,28302000
Poland,Europe,38258000,38157000,38042000,37999000,37950000,41026000
Sweden,Europe,8872000,9030000,9380000,9799000,10353000,10521000
