student_id,gender,race_ethnicity,parental_education,lunch,test_preparation,math_score,reading_score,writing_score
1,female,group B,high school,free/reduced,none,77,69,69
2,male,group E,high school,standard,completed,60,46,38
3,female,group D,master's degree,free/reduced,none,67,75,80
4,female,group D,some college,standard,completed,63,78,68
5,female,group B,associate's degree,standard,none,69,77,69
6,male,group E,bachelor's degree,free/reduced,none,70,59,65
7,female,group A,associate's degree,standard,none,45,46,38
8,male,group B,high school,standard,completed,59,55,62
9,male,group B,some college,free/reduced,none,71,68,65
10,male,group D,some high school,free/reduced,none,88,84,90
11,female,group B,some college,standard,completed,47,43,45
12,male,group E,bachelor's degree,standard,completed,86,81,88
13,male,group D,some college,free/reduced,none,79,86,85
14,male,group A,high school,free/reduced,none,62,69,70
15,female,group A,some high school,free/reduced,none,74,74,82
16,female,group A,bachelor's degree,standard,completed,58,67,70
17,female,group D,some high school,free/reduced,none,60,54,69
18,female,group D,some high school,standard,completed,47,48,48
19,female,group B,high school,free/reduced,none,32,34,48
20,female,group D,some high school,standard,none,77,78,77
21,female,group A,high school,free/reduced,none,52,54,53
22,male,group D,some college,standard,none,69,60,61
23,female,group E,high school,standard,completed,57,45,57
24,male,group D,some high school,free/reduced,none,62,48,45
25,male,group D,some high school,standard,none,68,60,66
26,female,group D,high school,free/reduced,completed,61,64,60
27,male,group A,some high school,standard,completed,79,69,65
28,female,group B,some college,standard,completed,79,83,81
29,male,group B,high school,standard,none,75,70,65
30,female,group C,high school,standard,none,81,73,61
31,male,group D,high school,standard,completed,90,94,93
32,female,group D,high school,standard,none,56,53,57
33,female,group D,some high school,standard,none,67,60,71
34,female,group B,some high school,free/reduced,completed,80,84,93
35,male,group D,bachelor's degree,free/reduced,none,92,82,73
36,male,group B,some high school,free/reduced,none,54,47,39
37,female,group B,some college,standard,completed,63,66,80
38,female,group D,high school,standard,none,86,91,81
39,female,group E,high school,standard,none,65,75,79
40,male,group D,high school,free/reduced,none,66,65,66
41,female,group A,associate's degree,free/reduced,none,69,66,67
42,female,group D,bachelor's degree,standard,none,59,64,59
43,male,group A,high school,free/reduced,completed,76,81,81
44,male,group E,high school,standard,completed,75,80,70
45,female,group D,high school,standard,none,64,64,65
46,male,group B,high school,standard,none,69,68,62
47,female,group B,some college,standard,completed,67,66,64
48,male,group B,high school,free/reduced,none,71,74,67
49,female,group E,high school,free/reduced,none,95,100,100
50,male,group C,bachelor's degree,standard,none,45,34,58
51,male,group D,some high school,standard,completed,81,73,83
52,male,group D,high school,free/reduced,none,66,51,61
53,female,group C,some college,free/reduced,completed,76,72,79
54,male,group B,some high school,standard,none,75,64,56
55,female,group E,some high school,standard,none,74,73,70
56,female,group C,some high school,standard,none,93,89,93
57,male,group C,bachelor's degree,standard,none,66,73,65
58,female,group D,some high school,free/reduced,none,89,78,79
59,male,group D,high school,standard,none,35,33,33
60,male,group E,some high school,free/reduced,none,100,80,83
61,female,group B,some high school,standard,none,75,73,68
62,male,group C,some college,standard,none,78,84,82
63,female,group C,high school,free/reduced,none,47,57,47
64,female,group C,some college,standard,completed,66,59,57
65,female,group B,some college,standard,none,74,78,67
66,male,group B,bachelor's degree,free/reduced,completed,78,65,75
67,female,group B,some high school,free/reduced,completed,78,71,75
68,female,group C,bachelor's degree,standard,none,86,86,81
69,female,group C,some college,standard,completed,47,58,51
70,male,group D,some high school,standard,completed,83,89,85
71,male,group D,associate's degree,standard,none,64,67,65
72,male,group C,bachelor's degree,standard,none,68,53,67
73,male,group C,high school,standard,none,56,36,50
74,male,group B,bachelor's degree,free/reduced,none,83,75,73
75,female,group C,high school,free/reduced,none,37,32,34
76,female,group C,some college,free/reduced,completed,82,76,76
77,male,group A,master's degree,free/reduced,completed,55,50,44
78,male,group C,high school,free/reduced,none,65,68,72
79,female,group C,associate's degree,free/reduced,completed,72,83,78
80,female,group B,high school,free/reduced,none,79,87,88
81,male,group C,associate's degree,standard,completed,63,77,72
82,female,group C,some college,standard,none,59,59,59
83,male,group D,high school,standard,completed,67,63,67
84,female,group D,high school,standard,completed,96,99,98
85,female,group D,high school,standard,none,77,71,81
86,male,group C,some high school,standard,none,66,76,61
87,female,group D,some high school,standard,completed,74,75,79
88,female,group C,high school,standard,none,45,49,48
89,male,group C,some high school,standard,none,76,75,76
90,male,group D,some high school,free/reduced,completed,48,56,47
91,female,group C,associate's degree,free/reduced,none,79,85,81
92,female,group C,some college,standard,none,72,61,64
93,male,group D,associate's degree,standard,none,100,100,100
94,male,group E,high school,standard,none,54,50,69
95,female,group E,bachelor's degree,free/reduced,completed,68,70,67
96,female,group C,some college,free/reduced,none,90,88,95
97,female,group C,some high school,standard,none,78,88,82
98,female,group D,some high school,free/reduced,none,64,58,57
99,female,group C,some college,standard,completed,79,78,85
100,male,group D,some high school,standard,none,70,66,63
101,female,group C,some college,free/reduced,completed,85,91,76
102,female,group B,master's degree,standard,completed,61,74,53
103,male,group A,some high school,standard,completed,88,70,64
104,male,group D,some high school,standard,completed,49,49,38
105,female,group A,master's degree,standard,completed,78,79,82
106,male,group C,some college,free/reduced,completed,80,82,93
107,male,group C,some high school,free/reduced,none,67,62,62
108,male,group B,bachelor's degree,standard,completed,54,51,42
109,female,group C,bachelor's degree,standard,none,80,90,89
110,female,group D,some college,free/reduced,none,81,70,68
111,male,group A,some college,standard,completed,63,64,70
112,female,group D,high school,free/reduced,completed,69,61,66
113,female,group D,some high school,free/reduced,completed,50,58,49
114,female,group C,some college,standard,none,55,65,53
115,male,group B,high school,free/reduced,none,60,63,64
116,male,group D,some college,standard,none,83,92,83
117,female,group B,associate's degree,standard,none,54,55,56
118,male,group C,some high school,standard,none,89,77,75
119,female,group E,some college,standard,none,58,57,53
120,male,group E,high school,free/reduced,none,65,69,73
121,male,group D,bachelor's degree,free/reduced,completed,67,77,61
122,female,group C,high school,free/reduced,none,79,82,78
123,female,group D,some college,free/reduced,completed,69,60,70
124,female,group D,some college,standard,none,48,40,48
125,male,group C,high school,standard,none,51,41,51
126,male,group D,some college,free/reduced,none,59,62,59
127,male,group A,associate's degree,free/reduced,none,54,60,57
128,male,group B,some college,standard,completed,74,88,85
129,female,group C,associate's degree,standard,none,57,54,66
130,male,group B,master's degree,standard,none,98,100,100
131,female,group B,high school,standard,completed,41,55,53
132,female,group D,some college,free/reduced,completed,83,68,72
133,male,group E,some high school,standard,none,55,50,43
134,male,group C,associate's degree,free/reduced,none,67,66,63
135,female,group D,some college,free/reduced,none,69,75,75
136,male,group E,high school,free/reduced,none,39,28,41
137,male,group B,some high school,standard,none,63,73,65
138,male,group C,bachelor's degree,standard,none,100,83,88
139,male,group C,high school,free/reduced,completed,70,67,70
140,female,group A,some college,free/reduced,none,74,80,73
