order_id,customer_id,order_date,product_category,quantity,unit_price,total_amount,payment_method,returned
ORD-10000,CUST-4422,2022-01-01,Electronics,1,291.93,291.93,credit_card,0
ORD-10001,CUST-3360,2022-01-01,Home & Garden,1,70.07,70.07,credit_card,0
ORD-10002,CUST-2781,2022-01-02,Home & Garden,1,75.9,75.9,credit_card,0
ORD-10003,CUST-2080,2022-01-03,Electronics,3,167.39,502.17,paypal,0
ORD-10004,CUST-1405,2022-01-04,Beauty,2,58.13,116.26,paypal,0
ORD-10005,CUST-3338,2022-01-05,Beauty,1,58.75,58.75,paypal,0
ORD-10006,CUST-1563,2022-01-06,Electronics,1,260.15,260.15,debit_card,0
ORD-10007,CUST-4161,2022-01-07,Sports,1,90.96,90.96,bank_transfer,0
ORD-10008,CUST-2635,2022-01-08,Books,2,14.32,28.64,debit_card,0
ORD-10009,CUST-2400,2022-01-09,Clothing,2,97.35,194.7,paypal,0
ORD-10010,CUST-1106,2022-01-10,Books,2,29.54,59.08,credit_card,0
ORD-10011,CUST-1969,2022-01-11,Electronics,2,147.12,294.24,bank_transfer,0
ORD-10012,CUST-1053,2022-01-11,Electronics,1,282.51,282.51,credit_card,0
ORD-10013,CUST-3900,2022-01-12,Beauty,1,31.43,31.43,credit_card,0
ORD-10014,CUST-2959,2022-01-13,Books,1,34.41,34.41,credit_card,0
ORD-10015,CUST-4143,2022-01-14,Clothing,1,87.52,87.52,paypal,0
ORD-10016,CUST-3260,2022-01-15,Home & Garden,1,47.36,47.36,paypal,0
ORD-10017,CUST-4817,2022-01-16,Beauty,2,49.31,98.62,credit_card,0
ORD-10018,CUST-4135,2022-01-17,Home & Garden,1,98.47,98.47,debit_card,0
ORD-10019,CUST-1590,2022-01-18,Beauty,2,81.84,163.68,credit_card,0
ORD-10020,CUST-1466,2022-01-19,Beauty,1,28.12,28.12,credit_card,1
ORD-10021,CUST-4557,2022-01-20,Clothing,1,86.52,86.52,credit_card,0
ORD-10022,CUST-2076,2022-01-21,Sports,2,90.62,181.24,credit_card,1
ORD-10023,CUST-4060,2022-01-21,Books,1,11.08,11.08,debit_card,0
ORD-10024,CUST-3514,2022-01-22,Sports,1,85.68,85.68,credit_card,0
ORD-10025,CUST-3807,2022-01-23,Clothing,1,55.05,55.05,credit_card,0
ORD-10026,CUST-2067,2022-01-24,Electronics,2,103.76,207.52,credit_card,0
ORD-10027,CUST-2252,2022-01-25,Electronics,1,202.48,202.48,debit_card,0
ORD-10028,CUST-3219,2022-01-26,Books,4,30.43,121.72,bank_transfer,0
ORD-10029,CUST-1088,2022-01-27,Sports,5,98.58,492.9,paypal,0
ORD-10030,CUST-2246,2022-01-28,Sports,3,70.49,211.47,paypal,0
ORD-10031,CUST-3030,2022-01-29,Books,1,20.69,20.69,debit_card,0
ORD-10032,CUST-1817,2022-01-30,Electronics,2,179.67,359.34,credit_card,0
ORD-10033,CUST-2143,2022-01-31,Electronics,1,195.65,195.65,credit_card,0
ORD-10034,CUST-4934,2022-02-01,Sports,3,129.95,389.85,paypal,0
ORD-10035,CUST-2159,2022-02-01,Home & Garden,1,83.16,83.16,credit_card,0
ORD-10036,CUST-4609,2022-02-02,Sports,1,39.5,39.5,credit_card,0
ORD-10037,CUST-4708,2022-02-03,Electronics,1,139.51,139.51,credit_card,0
ORD-10038,CUST-3695,2022-02-04,Clothing,3,58.65,175.95,credit_card,0
ORD-10039,CUST-1611,2022-02-05,Beauty,3,57.99,173.97,paypal,0
ORD-10040,CUST-1822,2022-02-06,Electronics,1,273.44,273.44,credit_card,0
ORD-10041,CUST-4736,2022-02-07,Electronics,1,307.78,307.78,credit_card,0
ORD-10042,CUST-1005,2022-02-08,Books,2,23.15,46.3,debit_card,0
ORD-10043,CUST-3015,2022-02-09,Books,3,28.72,86.16,paypal,0
ORD-10044,CUST-3385,2022-02-10,Beauty,2,16.73,33.46,credit_card,0
ORD-10045,CUST-4353,2022-02-11,Beauty,1,46.88,46.88,credit_card,0
ORD-10046,CUST-4580,2022-02-11,Sports,2,51.29,102.58,credit_card,0
ORD-10047,CUST-2134,2022-02-12,Electronics,3,175.5,526.5,credit_card,0
ORD-10048,CUST-3010,2022-02-13,Home & Garden,1,165.9,165.9,credit_card,0
ORD-10049,CUST-3535,2022-02-14,Beauty,1,44.86,44.86,credit_card,0
ORD-10050,CUST-4860,2022-02-15,Home & Garden,1,49.09,49.09,debit_card,0
ORD-10051,CUST-3226,2022-02-16,Beauty,1,46.52,46.52,debit_card,0
ORD-10052,CUST-1487,2022-02-17,Books,2,17.45,34.9,debit_card,0
ORD-10053,CUST-4696,2022-02-18,Electronics,1,110.83,110.83,paypal,0
ORD-10054,CUST-3049,2022-02-19,Home & Garden,1,138.09,138.09,paypal,0
ORD-10055,CUST-1717,2022-02-20,Sports,1,128.41,128.41,paypal,0
ORD-10056,CUST-1761,2022-02-21,Electronics,3,204.88,614.64,debit_card,0
ORD-10057,CUST-1818,2022-02-22,Clothing,3,46.38,139.14,paypal,0
ORD-10058,CUST-3885,2022-02-22,Sports,1,78.81,78.81,paypal,1
ORD-10059,CUST-4795,2022-02-23,Electronics,2,291.06,582.12,debit_card,0
ORD-10060,CUST-2765,2022-02-24,Clothing,1,61.74,61.74,paypal,0
ORD-10061,CUST-1391,2022-02-25,Books,3,5.13,15.39,credit_card,0
ORD-10062,CUST-4553,2022-02-26,Sports,2,177.15,354.3,credit_card,0
ORD-10063,CUST-3538,2022-02-27,Home & Garden,1,80.49,80.49,credit_card,0
ORD-10064,CUST-3283,2022-02-28,Beauty,5,45.49,227.45,credit_card,0
ORD-10065,CUST-1242,2022-03-01,Beauty,1,57.39,57.39,credit_card,0
ORD-10066,CUST-4882,2022-03-02,Home & Garden,2,88.96,177.92,credit_card,0
ORD-10067,CUST-1307,2022-03-03,Electronics,1,233.78,233.78,credit_card,0
ORD-10068,CUST-3441,2022-03-04,Sports,2,74.75,149.5,bank_transfer,0
ORD-10069,CUST-3388,2022-03-04,Clothing,1,27.94,27.94,credit_card,0
ORD-10070,CUST-3055,2022-03-05,Sports,1,100.09,100.09,credit_card,0
ORD-10071,CUST-3205,2022-03-06,Books,1,34.6,34.6,credit_card,0
ORD-10072,CUST-2591,2022-03-07,Clothing,5,40.75,203.75,credit_card,0
ORD-10073,CUST-3292,2022-03-08,Home & Garden,1,53.16,53.16,paypal,0
ORD-10074,CUST-2455,2022-03-09,Home & Garden,2,111.63,223.26,paypal,0
ORD-10075,CUST-2894,2022-03-10,Beauty,1,32.68,32.68,credit_card,0
ORD-10076,CUST-3712,2022-03-11,Electronics,3,150.44,451.32,paypal,0
ORD-10077,CUST-3969,2022-03-12,Beauty,1,34.03,34.03,credit_card,0
ORD-10078,CUST-1613,2022-03-13,Electronics,2,175.32,350.64,paypal,0
ORD-10079,CUST-4968,2022-03-14,Sports,4,33.35,133.4,bank_transfer,0
ORD-10080,CUST-1386,2022-03-14,Beauty,1,31.37,31.37,debit_card,0
ORD-10081,CUST-2103,2022-03-15,Clothing,1,60.07,60.07,credit_card,0
ORD-10082,CUST-2387,2022-03-16,Electronics,3,196.07,588.21,paypal,0
ORD-10083,CUST-2293,2022-03-17,Sports,1,131.69,131.69,debit_card,0
ORD-10084,CUST-2407,2022-03-18,Sports,1,156.22,156.22,debit_card,0
ORD-10085,CUST-2292,2022-03-19,Clothing,1,88.27,88.27,credit_card,0
ORD-10086,CUST-2744,2022-03-20,Home & Garden,3,102.44,307.32,credit_card,0
ORD-10087,CUST-4053,2022-03-21,Sports,4,84.65,338.6,credit_card,0
ORD-10088,CUST-4309,2022-03-22,Electronics,2,135.14,270.28,credit_card,0
ORD-10089,CUST-2392,2022-03-23,Books,2,22.16,44.32,paypal,0
ORD-10090,CUST-2033,2022-03-24,Home & Garden,1,92.57,92.57,credit_card,0
ORD-10091,CUST-3706,2022-03-25,Electronics,1,239.18,239.18,credit_card,0
ORD-10092,CUST-1238,2022-03-25,Sports,1,112.43,112.43,debit_card,0
ORD-10093,CUST-2783,2022-03-26,Clothing,1,52.33,52.33,paypal,0
ORD-10094,CUST-1880,2022-03-27,Beauty,1,52.59,52.59,bank_transfer,0
ORD-10095,CUST-3431,2022-03-28,Home & Garden,2,112.83,225.66,debit_card,1
ORD-10096,CUST-1313,2022-03-29,Home & Garden,1,101.4,101.4,debit_card,0
ORD-10097,CUST-4316,2022-03-30,Home & Garden,1,74.04,74.04,debit_card,0
ORD-10098,CUST-2079,2022-03-31,Clothing,1,36.66,36.66,credit_card,0
ORD-10099,CUST-3056,2022-04-01,Sports,1,59.13,59.13,credit_card,0
ORD-10100,CUST-3288,2022-04-02,Books,1,16.01,16.01,debit_card,0
ORD-10101,CUST-2900,2022-04-03,Sports,1,99.25,99.25,credit_card,0
ORD-10102,CUST-2791,2022-04-04,Home & Garden,1,90.59,90.59,credit_card,0
ORD-10103,CUST-2067,2022-04-04,Clothing,1,23.88,23.88,paypal,0
ORD-10104,CUST-4090,2022-04-05,Electronics,2,143.71,287.42,credit_card,0
ORD-10105,CUST-3063,2022-04-06,Sports,3,98.76,296.28,credit_card,0
ORD-10106,CUST-1863,2022-04-07,Clothing,2,35.21,70.42,credit_card,0
