survived,pclass,class,sex,age,sibsp,parch,fare,embarked
0,2,Second,male,37.8,1,0,1.4506,S
1,3,Third,male,30.4,0,2,22.1815,S
0,3,Third,male,30.6,0,1,11.9949,S
0,1,First,male,42.3,0,1,58.1781,S
0,2,Second,male,53.6,0,2,3.192,S
0,2,Second,female,45.4,1,0,28.7447,S
0,3,Third,male,10.2,0,3,19.7614,S
1,2,Second,male,41.1,0,0,44.2067,S
1,3,Third,male,37.5,0,1,23.0805,C
0,2,Second,male,34.4,0,1,13.2794,C
0,3,Third,male,40.8,0,2,2.9614,S
1,1,First,female,40.6,2,0,22.7423,C
0,3,Third,male,27.8,1,1,27.7322,S
1,3,Third,male,26.7,1,0,5.2183,S
0,2,Second,female,1.7,0,0,40.243,S
0,2,Second,male,28.9,0,0,27.8259,S
1,2,Second,female,20.6,1,0,25.2887,C
0,2,Second,male,13.4,0,0,17.0107,S
0,3,Third,male,45.1,0,0,19.6067,S
1,3,Third,female,32.1,2,0,12.8453,S
0,3,Third,male,24.6,0,0,9.3079,S
0,3,Third,male,17.1,0,0,19.96,S
0,2,Second,male,34.1,2,0,19.1284,S
0,3,Third,female,38.9,0,0,5.0167,S
0,3,Third,male,13.4,0,0,18.9983,S
0,2,Second,male,29.9,0,1,20.1682,S
1,3,Third,female,37.2,4,0,17.8891,C
1,2,Second,male,2.9,0,0,15.0998,S
0,3,Third,male,24.2,1,0,0.9088,S
0,3,Third,male,19.0,0,0,30.3507,S
0,3,Third,male,23.1,0,0,28.4661,S
1,1,First,male,31.0,0,0,152.9352,S
0,3,Third,male,26.9,0,0,9.1219,S
0,1,First,male,64.9,0,0,60.5752,S
0,3,Third,male,20.5,0,0,26.8233,S
0,2,Second,male,34.1,0,0,16.4002,S
0,3,Third,female,52.9,0,1,6.6744,S
0,3,Third,male,17.3,1,0,31.7223,S
1,1,First,female,63.4,1,0,80.2811,S
0,2,Second,female,30.1,0,0,43.9895,S
0,3,Third,male,49.9,0,0,0.9839,C
1,2,Second,female,40.5,0,0,27.7364,S
1,1,First,female,42.3,0,0,245.5444,C
0,1,First,male,37.1,0,0,86.3206,S
1,2,Second,female,21.3,0,0,17.5679,S
0,3,Third,male,26.1,0,0,1.3225,S
1,3,Third,female,37.6,0,0,23.8234,C
0,1,First,male,37.8,4,0,23.93,S
0,3,Third,male,20.6,0,2,12.0519,S
1,2,Second,male,26.5,0,0,4.9515,S
0,2,Second,female,43.9,0,0,41.2396,S
0,3,Third,male,42.2,0,0,24.5489,Q
0,2,Second,male,20.7,0,0,20.5894,S
0,3,Third,male,15.6,0,0,1.4585,S
0,3,Third,male,30.3,1,0,28.3591,S
1,3,Third,female,46.4,0,0,9.3407,S
0,3,Third,female,41.0,0,0,1.948,C
1,1,First,male,20.5,0,1,53.4452,C
0,1,First,male,34.3,1,0,33.6147,Q
0,1,First,male,25.0,4,3,29.4618,S
0,3,Third,male,21.3,1,0,6.7718,S
1,3,Third,female,47.5,0,0,20.4441,S
1,1,First,female,18.1,0,0,54.7188,S
1,1,First,male,15.3,0,0,111.7441,C
0,2,Second,male,18.4,1,1,11.5966,S
0,3,Third,male,29.0,2,0,13.6517,S
0,3,Third,male,33.7,1,0,32.209,S
0,3,Third,male,31.1,0,0,9.5151,C
