longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-116.3383,37.2031,33,981,763,2157,327,71.7184,500000,INLAND
-123.3424,38.5783,17,489,244,647,367,79.1041,500000,NEAR BAY
-118.2182,37.0058,11,989,742,464,371,115.5183,500000,NEAR BAY
-119.4537,36.4186,35,2116,352,1160,529,85.1487,500000,NEAR BAY
-116.3665,37.1777,38,1802,693,2934,416,115.8521,500000,INLAND
-114.3268,41.0454,25,960,1680,594,720,92.7605,500000,INLAND
-116.8569,36.2624,26,1720,2000,2621,1032,97.7405,500000,<1H OCEAN
-115.6507,38.6015,25,902,1128,459,677,39.5697,500000,NEAR BAY
-119.2736,40.4226,31,1005,287,1245,431,18.7087,500000,<1H OCEAN
-120.564,38.4003,42,2812,703,1874,703,150.0,500000,<1H OCEAN
-117.8672,34.6476,37,2543,763,538,763,42.113,500000,INLAND
-116.8058,33.6586,15,1800,2000,1448,1080,84.7588,500000,INLAND
-122.0247,38.1133,13,2278,1139,1010,1139,29.149,500000,NEAR BAY
-119.2661,39.4103,35,1107,738,256,369,72.3083,500000,<1H OCEAN
-123.1621,39.803,33,3318,2000,103,1106,9.3522,253000,INLAND
-122.1365,39.0911,19,2637,329,593,989,31.7001,500000,<1H OCEAN
-115.4814,32.5328,43,459,459,2644,197,38.2269,500000,<1H OCEAN
-122.8527,39.8515,22,2994,921,228,691,53.5251,500000,INLAND
-116.1865,38.2439,18,600,375,1819,225,77.1537,500000,<1H OCEAN
-120.574,41.8877,29,2251,614,183,614,21.0331,500000,NEAR BAY
-117.6648,39.7636,10,437,101,833,101,60.2538,500000,<1H OCEAN
-115.1967,36.587,36,788,525,706,394,84.6551,500000,INLAND
-116.491,38.9234,46,2662,484,1255,726,150.0,500000,<1H OCEAN
-116.0406,38.3514,49,1463,798,2628,399,61.9645,500000,INLAND
-121.6885,35.7052,23,101,101,1531,61,30.7805,500000,<1H OCEAN
-120.6833,37.5685,14,826,165,150,496,18.9069,500000,<1H OCEAN
-116.9721,34.4416,25,896,448,591,672,121.5234,500000,INLAND
-116.5277,33.3344,6,2784,1237,1135,928,63.117,500000,<1H OCEAN
-116.3995,39.4637,35,755,412,1046,206,40.0208,500000,<1H OCEAN
-116.8989,36.1492,22,2192,598,2020,598,15.3435,500000,NEAR BAY
-121.9838,39.6793,7,648,648,1292,278,23.1936,500000,INLAND
-121.4091,37.1392,28,753,301,2628,226,59.227,500000,<1H OCEAN
-114.8796,40.193,37,190,253,958,190,50.1433,500000,INLAND
-118.7614,39.5263,12,3076,307,2404,923,12.6137,473900,<1H OCEAN
-116.7555,39.7592,21,2952,1845,442,1107,59.2729,500000,<1H OCEAN
-118.308,36.5786,46,3248,1624,3460,812,15.8239,500000,<1H OCEAN
-115.055,41.6312,37,2101,323,3454,485,91.3767,500000,<1H OCEAN
-115.6122,36.3499,41,3423,1521,1037,1141,45.9576,500000,INLAND
-121.6863,40.0349,23,1863,207,896,621,30.7083,500000,NEAR BAY
-115.4529,37.1511,26,2851,438,100,658,73.4553,500000,NEAR OCEAN
-121.2996,34.7333,26,1558,259,3418,779,50.1333,500000,NEAR BAY
-119.8902,38.4747,23,1069,1604,229,802,89.7961,500000,<1H OCEAN
-115.7877,36.9565,8,1640,1435,107,615,42.5581,500000,NEAR BAY
-121.0598,35.0087,3,1202,200,431,601,44.0743,500000,INLAND
-121.3923,36.1341,43,1245,691,1102,415,34.173,500000,<1H OCEAN
-117.6134,34.0194,28,3050,1386,3415,832,47.4827,500000,INLAND
-114.3032,41.8769,28,2194,1371,666,823,112.3204,500000,NEAR OCEAN
-122.9894,38.6102,31,1102,734,2038,551,29.9919,500000,INLAND
-117.2894,34.1487,22,2604,2000,2311,868,59.8211,500000,NEAR BAY
-119.0304,39.7636,46,485,69,2817,208,23.9105,500000,INLAND
-120.1938,38.2178,24,880,352,2477,528,11.7346,389500,<1H OCEAN
-116.8014,39.3642,26,4341,789,3449,1184,45.9273,500000,NEAR BAY
-118.7516,38.0526,28,1786,1786,2349,893,50.6444,500000,<1H OCEAN
-116.3219,33.0744,9,2341,292,2970,878,37.9608,500000,INLAND
-116.8615,34.4308,9,4168,347,1187,1042,16.527,500000,<1H OCEAN
-114.4488,39.8031,10,1248,1498,1485,749,48.675,500000,INLAND
-116.1913,39.6663,13,1892,811,2606,811,47.5781,500000,INLAND
-123.632,39.6618,9,804,1005,3077,603,23.7912,500000,<1H OCEAN
-116.5042,32.6445,12,2333,1000,117,1000,18.0021,500000,<1H OCEAN
-117.803,40.1489,48,1736,289,1574,868,34.8535,500000,INLAND
-123.4021,36.6717,19,2825,1086,2827,652,59.9999,500000,<1H OCEAN
-118.2451,39.0898,41,390,65,487,195,52.0694,500000,NEAR BAY
-116.792,35.0848,21,2928,1301,1299,976,23.9049,500000,<1H OCEAN
-122.3281,39.8105,43,566,991,1963,425,44.0242,500000,INLAND
-119.9509,41.8317,39,1232,308,381,462,69.0521,500000,<1H OCEAN
-118.8751,34.9086,43,772,128,3213,193,20.0652,500000,<1H OCEAN
-120.1685,39.9499,15,996,697,1350,299,42.1181,500000,NEAR BAY
-115.54,38.247,5,388,194,2767,194,90.5923,500000,NEAR BAY
-122.611,35.0944,16,702,162,1553,162,18.871,500000,NEAR OCEAN
-116.5844,35.2964,36,271,123,1466,74,81.1177,500000,<1H OCEAN
-116.5191,39.4506,34,905,129,3384,388,107.1358,500000,INLAND
-119.8197,35.2013,36,3982,306,3006,919,35.4904,500000,INLAND
-118.9052,32.954,51,1738,2000,1853,1043,33.009,500000,<1H OCEAN
-122.7644,40.8026,12,622,725,1678,311,75.3724,500000,INLAND
-122.3484,38.095,23,2327,1253,2754,537,36.267,500000,NEAR OCEAN
-118.9834,39.7055,26,4359,335,2427,1006,9.8819,279800,INLAND
-122.0532,38.2306,8,3448,1149,3429,862,38.2181,500000,INLAND
-116.2353,37.4063,34,1816,2000,1232,1090,53.776,500000,<1H OCEAN
-118.1378,39.8148,3,888,1066,483,533,63.2209,500000,INLAND
-123.7342,32.8055,46,810,243,762,243,23.9079,500000,NEAR BAY
-120.7212,35.4629,5,214,285,1894,214,34.4912,500000,INLAND
-115.7157,38.461,6,3748,576,1165,865,72.8738,500000,<1H OCEAN
-121.5256,41.4678,9,346,26,2851,80,39.1181,500000,INLAND
-117.1028,36.2397,46,2123,579,3075,579,16.2054,500000,NEAR OCEAN
-123.362,41.7653,44,1976,304,735,456,85.2142,500000,INLAND
-114.9947,39.6752,48,1843,2000,3465,1106,35.6632,500000,NEAR BAY
-119.8065,37.1065,43,4788,399,2246,1197,78.0474,500000,INLAND
-119.3843,36.577,48,1011,809,997,607,17.5545,500000,NEAR OCEAN
-118.6017,33.7297,25,956,956,784,717,37.7126,500000,INLAND
-120.6657,38.3443,1,808,161,662,485,55.0602,500000,INLAND
-117.0471,32.9974,23,3457,1257,1701,943,38.4861,500000,INLAND
-124.1542,36.5762,12,1681,905,341,388,19.9411,500000,INLAND
-122.678,34.7582,13,2718,302,545,906,9.6843,400400,<1H OCEAN
-122.4118,41.5847,36,1815,726,2662,1089,101.1439,500000,<1H OCEAN
-117.9466,35.951,9,741,164,1762,247,47.0593,500000,INLAND
-115.394,37.1479,17,826,103,1895,310,81.6683,500000,NEAR OCEAN
