student_id,major,gpa,sat_score,first_choice,scholarship,year
1,Mathematics,3.21,1040,0,0,2
2,Data Science,2.88,1250,1,0,1
3,Statistics,3.25,1150,1,0,3
4,Engineering,4.0,1350,1,1,4
5,Statistics,3.44,1020,1,0,4
6,Data Science,3.77,1110,0,1,4
7,Engineering,3.36,890,1,0,2
8,Economics,3.14,1130,1,0,3
9,Computer Science,3.36,1070,1,0,4
10,Data Science,3.34,1320,0,0,3
11,Mathematics,3.53,1040,1,1,4
12,Engineering,3.13,1070,1,0,1
13,Computer Science,2.45,1030,0,0,1
14,Computer Science,2.37,1150,0,0,1
15,Statistics,3.33,1510,1,0,4
16,Engineering,2.54,600,1,0,1
17,Data Science,3.44,1140,0,0,4
18,Statistics,3.77,1360,1,1,2
19,Engineering,2.99,1060,0,0,3
20,Computer Science,3.71,1240,1,1,3
21,Data Science,3.23,1360,1,0,2
22,Data Science,3.11,1100,1,0,1
23,Engineering,3.14,1030,1,0,3
24,Statistics,2.68,1320,1,0,4
25,Engineering,2.62,1240,1,0,1
26,Mathematics,2.28,1140,0,0,1
27,Data Science,2.73,1260,1,0,4
28,Mathematics,4.0,1320,1,1,1
29,Data Science,2.35,1140,1,0,1
30,Statistics,2.51,1200,1,0,4
31,Economics,2.7,1240,0,0,3
32,Mathematics,2.72,1070,1,0,1
33,Statistics,3.23,1360,1,0,4
34,Computer Science,2.79,960,0,0,3
35,Statistics,3.0,1130,1,0,1
36,Engineering,2.68,1290,0,0,2
37,Engineering,2.86,960,1,0,4
38,Economics,3.07,1310,1,0,3
39,Economics,3.03,1180,1,0,3
40,Mathematics,4.0,1390,1,1,2
41,Engineering,3.09,1260,0,0,1
42,Engineering,3.0,1120,0,0,3
43,Mathematics,1.85,1190,0,0,1
44,Computer Science,3.22,1200,0,0,4
45,Economics,2.11,1510,0,0,1
46,Economics,3.38,1170,1,0,1
47,Mathematics,3.17,1130,1,0,1
48,Data Science,3.5,1110,1,0,4
49,Computer Science,2.78,1180,0,0,2
50,Computer Science,3.11,950,0,0,2
51,Engineering,3.44,1080,0,0,2
52,Mathematics,2.64,970,0,0,3
53,Statistics,3.41,990,0,0,4
54,Data Science,3.38,1290,1,0,2
55,Statistics,3.03,1150,1,0,1
56,Engineering,3.89,1020,0,1,4
57,Economics,3.36,1120,1,0,2
58,Mathematics,2.26,1110,1,0,3
59,Data Science,3.59,1160,1,1,1
60,Computer Science,2.77,880,1,0,4
61,Engineering,3.5,950,0,0,4
62,Engineering,3.25,890,0,0,2
63,Data Science,1.78,990,1,0,1
64,Computer Science,3.4,1020,1,0,1
65,Statistics,2.99,960,1,0,2
66,Engineering,2.87,1290,1,0,2
67,Engineering,2.89,1480,1,0,2
68,Computer Science,3.49,1300,1,0,3
69,Economics,2.64,1050,1,0,1
70,Mathematics,3.66,1190,1,1,1
71,Statistics,2.34,1140,1,0,4
72,Computer Science,3.25,1040,0,0,2
73,Computer Science,3.49,1390,1,0,4
74,Computer Science,3.47,1510,1,0,3
75,Data Science,3.19,890,0,0,1
76,Economics,3.0,1410,1,0,3
77,Engineering,2.83,1040,0,0,4
78,Economics,2.49,1100,1,0,4
79,Statistics,2.76,1200,1,0,2
80,Computer Science,2.62,1430,1,0,1
81,Statistics,2.54,1200,0,0,2
82,Statistics,4.0,1220,0,1,1
83,Economics,2.24,1300,1,0,2
84,Mathematics,3.66,1330,0,1,4
85,Data Science,2.48,1240,1,0,3
86,Engineering,2.59,1330,1,0,4
87,Engineering,2.58,1040,1,0,3
88,Mathematics,2.54,840,1,0,1
